Address,Square ft,Sale Date,Price,Beds,Baths
"1106 E 36th St, Charlotte, NC 28205","1,697",Sold 05/02/2022,"$525,000",2,3
"3600 Oakwood Ave, Charlotte, NC 28205","1,632",Sold 04/29/2022,"$707,397",4,4
"3106 Whiting Ave, Charlotte, NC 28205","3,085",Sold 04/26/2022,$1.10M,4,3.5
"3513 Warp St, Charlotte, NC 28205","2,811",Sold 04/25/2022,"$778,000",4,3
"3033 N Alexander St, Charlotte, NC 28205","2,227",Sold 04/21/2022,$1.01M,3,2
"926 Herrin Ave, Charlotte, NC 28205",864,Sold 04/20/2022,"$153,000",3,1
"908 Academy St, Charlotte, NC 28205","1,994",Sold 04/19/2022,"$575,000",4,3
"3121 N McDowell St, Charlotte, NC 28205","2,694",Sold 04/14/2022,$1.15M,3,4
"813 Leigh Ave, Charlotte, NC 28205","2,326",Sold 04/11/2022,"$705,000",4,3
"1026 Polaris Way, Charlotte, NC 28205","2,268",Sold 04/08/2022,"$765,000",3,4
"1227 E 34th St, Charlotte, NC 28205",--,Sold 04/06/2022,"$375,000",--,--
"1206 Charles Ave, Charlotte, NC 28205","1,340",Sold 03/28/2022,"$435,000",2,2
"1206 Charles Ave, Charlotte, NC 28205",640,Sold 03/28/2022,"$435,000",2,2
"3007 Yadkin Ave, Charlotte, NC 28205","1,500",Sold 03/25/2022,"$608,500",3,2
"3036 Yadkin Ave, Charlotte, NC 28205","2,739",Sold 03/25/2022,$1.00M,3,2
"1015 Charles Ave, Charlotte, NC 28205","2,378",Sold 03/24/2022,"$825,000",4,2
"2824 Whiting Ave, Charlotte, NC 28205","1,504",Sold 03/24/2022,"$620,000",3,2
"647 Raphael Pl, Charlotte, NC 28205","1,342",Sold 03/24/2022,"$362,500",2,3
"925 E 35th St, Charlotte, NC 28205","1,458",Sold 03/23/2022,"$585,000",3,1
"1409 Winston Dr, Charlotte, NC 28205","1,324",Sold 03/22/2022,"$430,000",3,2
"3543 Warp St, Charlotte, NC 28205","1,340",Sold 03/21/2022,"$390,000",2,3
"3021 Hudson St, Charlotte, NC 28205",878,Sold 03/18/2022,"$355,000",2,1
"3471 Chagall Ct, Charlotte, NC 28205",946,Sold 03/16/2022,"$315,000",2,2
"1032 Leigh Ave, Charlotte, NC 28205","3,457",Sold 03/15/2022,$1.20M,5,4
"704 E 37th St, Charlotte, NC 28205",935,Sold 03/15/2022,"$472,500",2,1
"635 Raphael Pl, Charlotte, NC 28205","1,400",Sold 03/15/2022,"$335,000",2,3
"517 E 37th St, Charlotte, NC 28205",887,Sold 03/11/2022,"$415,000",2,1
"1011 Herrin Ave, Charlotte, NC 28205","1,157",Sold 03/09/2022,"$425,000",2,1
"832 Woodside Ave, Charlotte, NC 28205","2,846",Sold 03/03/2022,"$877,951",5,3
"3967 Picasso Ct, Charlotte, NC 28205","1,437",Sold 03/03/2022,"$345,000",2,3
"812 Herrin Ave, Charlotte, NC 28205","1,232",Sold 02/28/2022,"$386,000",2,1
"3423 Steel Yard Ct, Charlotte, NC 28205","1,755",Sold 02/28/2022,"$425,500",3,3
"636 Raphael Pl, Charlotte, NC 28205","1,078",Sold 02/22/2022,"$280,000",2,2
"636 Raphael Pl #0, Charlotte, NC 28205",872,Sold 02/22/2022,"$279,900",2,2
"3505 Artists Way, Charlotte, NC 28205","1,272",Sold 02/16/2022,"$335,000",2,3
"1108 Herrin Ave, Charlotte, NC 28205","3,114",Sold 02/15/2022,"$650,000",3,2.5
"3512 The Plz, Charlotte, NC 28205","1,548",Sold 02/09/2022,"$462,000",4,3
"947 E 36th St, Charlotte, NC 28205","2,086",Sold 01/31/2022,"$520,000",3,4
"2128 Electric Ln, Charlotte, NC 28205","1,656",Sold 01/31/2022,"$444,000",3,3.5
"2128 Electric Ln #LNO0523, Charlotte, NC 28205","1,601",Sold 01/31/2022,"$443,818",2,3
"2124 Electric Ln, Charlotte, NC 28205","2,367",Sold 01/28/2022,"$550,500",3,3.5
"2124 Electric Ln #LNO0522, Charlotte, NC 28205","2,351",Sold 01/28/2022,"$550,368",3,5
"522 Donatello Ave, Charlotte, NC 28205","1,000",Sold 01/27/2022,"$289,000",2,2
"2120 Electric Ln, Charlotte, NC 28205","1,656",Sold 01/27/2022,"$430,500",3,3.5
"2120 Electric Ln #LNO0521, Charlotte, NC 28205","1,613",Sold 01/27/2022,"$430,500",2,4
"525 Steel Gardens Blvd, Charlotte, NC 28205","1,470",Sold 01/26/2022,"$410,000",2,3
"2116 Electric Ln, Charlotte, NC 28205","2,367",Sold 01/26/2022,"$536,000",3,3.5
"2112 Electric Ln, Charlotte, NC 28205","1,656",Sold 01/26/2022,"$436,500",3,3.5
"2112 Electric Ln #LNO0519, Charlotte, NC 28205","1,595",Sold 01/26/2022,"$436,100",2,3
